codigosipac;valor;quantidade
3035000000602;100;2600
3035000000198;100;35200
3035000000782;100;2200
3035000000603;100;1500
3035000000202;100;7500
3035000000604;100;1700
3035000000199;100;35200
3035000000784;100;2200
3035000000605;100;1500
3035000000200;100;25500
3035000000785;100;2200
3035000000606;100;1100
3035000000270;100;10000
3035000000786;100;2200
3035000000607;100;3000
3035000000271;100;2500
3035000000608;100;200
3035000000269;100;8300
3035000000788;100;2200
3035000000609;100;1900
3035000000262;100;6600
3035000000610;100;1300
3035000000266;100;10700
3035000000611;100;2800
3035000000264;100;8600
3035000000841;100;400
3035000000265;100;4000
3035000000612;100;400
3035000000260;100;1900
3035000000268;100;6600
3035000000614;100;600
3035000000261;100;1800
3035000000257;100;5500
3035000000886;100;600
3035000000258;100;5000
3035000000616;100;2200
3035000000267;100;7600
3035000000256;100;9000
3035000000618;100;2200
3035000000263;100;5000
3035000000259;100;4300
3035000000620;100;400
3035000000206;100;82500
3035000000887;100;2200
3035000000252;100;278300
3035000000621;100;11000
3035000000253;100;311300
3035000000622;100;11000
3035000000251;100;36300
3035000000254;100;35200
3035000000624;100;11000
3035000000255;100;13200
3035000000230;100;2200
3035000000889;100;22000
3035000000231;100;2200
3035000000625;100;5500
3035000000232;100;46200
3035000000626;100;5500
3035000000234;100;25300
3035000000627;100;11000
3035000000233;100;2200
3035000000236;100;14300
3035000000629;100;5500
3035000000235;100;2200
3035000000238;100;13200
3035000000237;100;2200
3035000000240;100;2200
3035000000891;100;5500
3035000000239;100;2200
3035000000242;100;18700
3035000000241;100;2200
3035000000633;100;5500
3035000000244;100;24200
3035000000892;100;5500
3035000000243;100;2200
3035000000245;100;2200
3035000000247;100;2200
3035000000894;100;5500
3035000000246;100;2200
3035000000248;100;2200
3035000000896;100;5500
3035000000249;100;2200
3035000000250;100;2200
3035000000195;100;17600
3035000000637;100;1700
3035000000196;100;7500
3035000000197;100;18500
3035000000843;100;1700
